Time (sec),GHF0.3,GHF0.9,GHF1.5,GHF2.1,TGas0.3,Tgas0.9,Tgas1.5,Tgas2.1
193,148.8165733,80.89583991,48.12181423,29.12592556,1148.092262,976.320271,794.7494633,641.0253793
193.1,149.9872082,81.36490629,47.82867069,29.15311795,1148.609647,976.3811624,794.7507264,641.058875
193.2,151.1578431,81.83397267,47.53552714,29.18031033,1149.127033,976.4420538,794.7519894,641.0923707
193.3,152.5113866,82.30303905,47.24238359,29.20750271,1149.644419,976.5029453,794.7532525,641.1258664
193.4,153.9303548,82.77210542,46.94924004,29.2346951,1150.161805,976.5638367,794.7545155,641.1593622
193.5,155.3493231,83.2411718,46.6560965,29.26188748,1150.679191,976.6247281,794.7557786,641.1928579
193.6,156.7682913,83.71023818,46.36295295,29.28907986,1151.196577,976.6856196,794.7570417,641.2263536
193.7,158.1872596,84.17930456,46.0698094,29.31627225,1151.713963,976.746511,794.8152256,641.2598493
193.8,159.5001795,84.64837094,45.77666585,29.34346463,1152.231349,976.8074024,794.908924,641.293345
193.9,160.5446768,85.11743731,45.48352231,29.37065701,1152.748735,976.8682938,795.0026224,641.3268407
194,161.5891742,85.58650369,45.19037876,29.3978494,1153.266121,976.9291853,795.0963208,641.3603364
194.1,161.7421764,86.05557007,45.35529533,29.42504178,1153.783507,976.9900767,795.1900193,641.3938321
194.2,161.1847651,86.52463645,45.88523025,29.45223416,1154.300893,977.0509681,795.2837177,641.4010268
194.3,160.6273538,86.99370283,46.41516517,29.47942655,1154.818279,977.1118596,795.3774161,641.3782904
194.4,160.0699426,87.4627692,46.94510009,29.50661893,1155.335665,977.172751,795.4711146,641.355554
194.5,159.5125313,87.93183558,47.47503501,29.53381132,1155.853051,977.2336424,795.564813,641.3328176
194.6,158.95512,88.40090196,48.00496993,29.5610037,1156.370437,977.2945339,795.6585114,641.3100812
194.7,158.3977087,88.86996834,48.53490486,29.58819608,1156.887823,977.3554253,795.7522098,641.2873448
194.8,157.8402974,89.33903472,48.88531373,29.61538847,1157.405208,977.4163167,795.8459083,641.2646084
194.9,157.2828862,89.80810109,49.1725915,29.64258085,1157.922594,977.4772081,795.9396067,641.2418721
195,156.7254749,90.27716747,49.45986928,29.66977323,1158.43998,977.5380996,796.0333051,641.2191357
195.1,156.1680636,90.74623385,49.74714706,29.69696562,1158.957366,977.598991,796.1270036,641.1963993
195.2,155.6106523,83.84842111,50.03442484,29.724158,1159.474752,977.6598824,796.220702,641.1736629
195.3,155.0532411,84.07616541,50.32170261,29.75135038,1159.992138,977.7207739,796.3144004,641.1509265
195.4,154.4958298,84.3039097,50.60898039,29.77854277,1160.509524,977.8040356,796.4080988,641.1281901
195.5,153.9384185,84.531654,42.92404237,29.80573515,1161.02691,977.9321516,796.5017973,641.1054537
195.6,153.3810072,84.75939829,43.12587071,29.83292753,1161.544296,978.0602677,796.5954957,641.0827174
195.7,153.5076663,84.98714259,43.32769905,29.87486717,1161.868876,978.1883838,796.6891941,641.059981
195.8,154.1176143,85.21488689,43.52952738,29.92193971,1161.951653,978.3164998,796.7828926,641.0372446
195.9,154.7275623,85.44263118,43.73135572,29.96901224,1162.034431,978.4446159,796.876591,641.0145082
196,155.3375103,85.67037548,43.93318406,30.01608477,1162.117208,978.5727319,796.9702894,640.9917718
196.1,155.9474583,85.89811977,44.13501239,30.06315731,1162.199986,978.700848,797.0639878,640.9690354
196.2,156.5574063,86.03860418,44.33684073,30.11022984,1162.282763,978.8289641,797.1576863,640.946299
196.3,157.1673543,85.96384486,44.53866906,30.15730238,1162.365541,978.9570801,797.2513847,640.9235627
196.4,157.7773023,85.88908554,44.7404974,30.20437491,1162.448318,979.0851962,797.3450831,640.9008263
196.5,158.3872503,85.81432623,44.94232574,30.25144744,1162.531096,979.2133123,797.4387816,640.8780899
196.6,158.9971983,85.73956691,45.14415407,30.29851998,1162.613873,979.3414283,797.53248,640.8553535
196.7,159.6071463,85.66480759,45.34598241,30.34559251,1162.696651,979.4695444,797.6261784,640.8326171
196.8,159.7172997,85.59004828,45.54781075,30.39266504,1162.779428,979.5976604,797.7198768,640.8098807
196.9,158.6024796,85.51528896,45.74963908,30.43973758,1162.862206,979.7257765,797.8135753,640.7871443
197,157.4876595,85.44052964,45.95146742,30.48681011,1162.944984,979.8538926,797.9464072,640.764408
